training_losses,test_losses
51007.06640625,45618.875868055555
36553.01171875,44221.014756944445
42609.65234375,43239.184895833336
41038.55078125,42748.60546875
39032.46484375,41519.27387152778
44510.3046875,41307.774305555555
43025.1796875,40839.311631944445
38059.4453125,41205.80295138889
40856.7578125,41397.16970486111
39031.484375,41588.774739583336
39310.22265625,41716.131510416664
44351.890625,42969.028211805555
31760.400390625,43022.96267361111
38863.04296875,42700.12065972222
36948.14453125,42402.619791666664
40218.24609375,42620.05815972222
29053.53515625,42072.66579861111
37755.3046875,41757.358072916664
42491.37109375,41396.40060763889
34054.7421875,40546.68402777778
39643.6328125,39706.75
41341.73046875,39320.174913194445
46052.47265625,39371.911458333336
34039.4140625,37792.67361111111
39801.96875,37308.295572916664
33315.4375,36314.536458333336
34614.390625,36024.904296875
40228.328125,35536.89453125
35852.42578125,34941.063368055555
30420.8359375,33816.928819444445
32425.046875,33284.631944444445
36852.8046875,32623.016276041668
39046.39453125,31932.066840277777
28948.6875,31075.57421875
28342.8359375,30408.08767361111
37085.5859375,30224.524305555555
39244.3203125,30065.026258680555
28028.88671875,29459.203776041668
32283.14453125,29036.438585069445
29218.04296875,28685.21484375
27937.578125,28188.7421875
34415.9296875,28010.31032986111
31980.453125,27646.07421875
30827.55859375,27565.069010416668
31061.73046875,27554.144965277777
30515.400390625,27545.407552083332
30926.0546875,27578.0625
32901.05859375,27942.2265625
24333.7265625,27786.490885416668
30003.408203125,27901.604600694445
29714.771484375,27918.94704861111
32442.7421875,28232.80881076389
23918.921875,28294.358723958332
28667.74609375,28552.298828125
33793.90625,28815.313368055555
26357.5078125,28955.57443576389
32088.68359375,29195.792317708332
33235.20703125,29473.024088541668
37032.8671875,29860.926215277777
28857.14453125,29413.125651041668
32454.087890625,29456.19118923611
28352.54296875,29197.302300347223
27999.919921875,29446.999131944445
33123.7421875,29572.562934027777
30566.10546875,29608.858506944445
25558.23046875,29115.66796875
27152.486328125,28964.555121527777
30965.06640625,28625.038628472223
33510.66796875,28275.418402777777
25704.4296875,27831.931206597223
24362.05078125,27376.35720486111
